ablation_run_id,design_condition_id,reference_run_id,source_condition_id,outer_fold,alpha,scenario,attack,malicious_count,method_family,variant,variant_label,component_isolated,fl_seed,model_seed,random_schedule_seed,condition_rationale,component_rationale
17,1,305,51,3,0.1,clean,none,0,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,1400829696,2129437073,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
18,1,305,51,3,0.1,clean,none,0,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,1400829696,2129437073,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
19,1,306,51,3,0.1,clean,none,0,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,1400829696,2129437073,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
20,1,306,51,3,0.1,clean,none,0,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,1400829696,2129437073,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
21,1,311,52,3,0.1,clean,none,0,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,884573031,1066517935,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
22,1,311,52,3,0.1,clean,none,0,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,884573031,1066517935,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
23,1,312,52,3,0.1,clean,none,0,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,884573031,1066517935,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
24,1,312,52,3,0.1,clean,none,0,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,884573031,1066517935,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
25,1,425,71,4,0.1,clean,none,0,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,213424618,686063111,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
26,1,425,71,4,0.1,clean,none,0,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,213424618,686063111,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
27,1,426,71,4,0.1,clean,none,0,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,213424618,686063111,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
28,1,426,71,4,0.1,clean,none,0,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,213424618,686063111,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
29,1,431,72,4,0.1,clean,none,0,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,19602983,791551251,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
30,1,431,72,4,0.1,clean,none,0,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,19602983,791551251,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
31,1,432,72,4,0.1,clean,none,0,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,19602983,791551251,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
32,1,432,72,4,0.1,clean,none,0,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,19602983,791551251,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
33,1,545,91,5,0.1,clean,none,0,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,1526525708,701496434,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
34,1,545,91,5,0.1,clean,none,0,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,1526525708,701496434,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
35,1,546,91,5,0.1,clean,none,0,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,1526525708,701496434,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
36,1,546,91,5,0.1,clean,none,0,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,1526525708,701496434,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
37,1,551,92,5,0.1,clean,none,0,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,1988577654,788639995,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
38,1,551,92,5,0.1,clean,none,0,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,1988577654,788639995,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
39,1,552,92,5,0.1,clean,none,0,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,1988577654,788639995,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
40,1,552,92,5,0.1,clean,none,0,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,1988577654,788639995,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
41,2,53,9,1,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,466359210,904643126,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the energy-awareness contribution
42,2,53,9,1,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,466359210,904643126,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the trust contribution
43,2,54,9,1,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,466359210,904643126,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the energy-aware selection contribution
44,2,54,9,1,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,466359210,904643126,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
45,2,59,10,1,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,1039791761,2129548108,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the energy-awareness contribution
46,2,59,10,1,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,1039791761,2129548108,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the trust contribution
47,2,60,10,1,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,1039791761,2129548108,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the energy-aware selection contribution
48,2,60,10,1,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,1039791761,2129548108,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
49,2,173,29,2,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,1609500700,1673688556,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the energy-awareness contribution
50,2,173,29,2,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,1609500700,1673688556,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the trust contribution
51,2,174,29,2,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,1609500700,1673688556,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the energy-aware selection contribution
52,2,174,29,2,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,1609500700,1673688556,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
53,2,179,30,2,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,2090734901,6174703,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the energy-awareness contribution
54,2,179,30,2,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,2090734901,6174703,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the trust contribution
55,2,180,30,2,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,2090734901,6174703,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the energy-aware selection contribution
56,2,180,30,2,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,2090734901,6174703,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
57,2,293,49,3,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,1400829696,2129437073,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the energy-awareness contribution
58,2,293,49,3,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,1400829696,2129437073,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the trust contribution
59,2,294,49,3,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,1400829696,2129437073,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the energy-aware selection contribution
60,2,294,49,3,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,1400829696,2129437073,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
61,2,299,50,3,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,884573031,1066517935,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the energy-awareness contribution
62,2,299,50,3,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,884573031,1066517935,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the trust contribution
63,2,300,50,3,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,884573031,1066517935,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the energy-aware selection contribution
64,2,300,50,3,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,884573031,1066517935,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
65,2,413,69,4,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,213424618,686063111,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the energy-awareness contribution
66,2,413,69,4,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,213424618,686063111,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the trust contribution
67,2,414,69,4,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,213424618,686063111,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the energy-aware selection contribution
68,2,414,69,4,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,213424618,686063111,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
69,2,419,70,4,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,19602983,791551251,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the energy-awareness contribution
70,2,419,70,4,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,19602983,791551251,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the trust contribution
71,2,420,70,4,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,19602983,791551251,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the energy-aware selection contribution
72,2,420,70,4,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,19602983,791551251,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
73,2,533,89,5,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,1526525708,701496434,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the energy-awareness contribution
74,2,533,89,5,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,1526525708,701496434,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the trust contribution
75,2,534,89,5,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,1526525708,701496434,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the energy-aware selection contribution
76,2,534,89,5,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,1526525708,701496434,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
77,2,539,90,5,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,1988577654,788639995,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the energy-awareness contribution
78,2,539,90,5,1.0,labelflip_mu0p4,label_flip,11,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,1988577654,788639995,Strong label-flip condition where proposed methods remain competitive,Full TEA-FL minus this variant estimates the trust contribution
79,2,540,90,5,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,1988577654,788639995,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the energy-aware selection contribution
80,2,540,90,5,1.0,labelflip_mu0p4,label_flip,11,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,1988577654,788639995,Strong label-flip condition where proposed methods remain competitive,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
81,3,77,13,1,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,466359210,904643126,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
82,3,77,13,1,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,466359210,904643126,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
83,3,78,13,1,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,466359210,904643126,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
84,3,78,13,1,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,466359210,904643126,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
85,3,83,14,1,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,1039791761,2129548108,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
86,3,83,14,1,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,1039791761,2129548108,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
87,3,84,14,1,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,1039791761,2129548108,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
88,3,84,14,1,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,1039791761,2129548108,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
89,3,197,33,2,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,1609500700,1673688556,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
90,3,197,33,2,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,1609500700,1673688556,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
91,3,198,33,2,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,1609500700,1673688556,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
92,3,198,33,2,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,1609500700,1673688556,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
93,3,203,34,2,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,2090734901,6174703,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
94,3,203,34,2,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,2090734901,6174703,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
95,3,204,34,2,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,2090734901,6174703,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
96,3,204,34,2,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,2090734901,6174703,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
97,3,317,53,3,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,1400829696,2129437073,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
98,3,317,53,3,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,1400829696,2129437073,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
99,3,318,53,3,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,1400829696,2129437073,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
100,3,318,53,3,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,1400829696,2129437073,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
101,3,323,54,3,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,884573031,1066517935,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
102,3,323,54,3,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,884573031,1066517935,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
103,3,324,54,3,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,884573031,1066517935,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
104,3,324,54,3,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,884573031,1066517935,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
105,3,437,73,4,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,213424618,686063111,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
106,3,437,73,4,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,213424618,686063111,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
107,3,438,73,4,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,213424618,686063111,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
108,3,438,73,4,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,213424618,686063111,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
109,3,443,74,4,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,19602983,791551251,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
110,3,443,74,4,0.1,signflip_mu0p2,sign_flip,6,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,19602983,791551251,Moderate sign-flip under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
111,3,444,74,4,0.1,signflip_mu0p2,sign_flip,6,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,19602983,791551251,Moderate sign-flip under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
